;MAE;RMSE;MAPE;Direction_Accuracy_Pct;Execution_Time_Sec
LSTM;45,25553262291238;62,630777131621;0,8814630780012292;56,25759416767922;56,3769052028656
CART;45,09366565302639;62,358768678050296;0,8765021124844908;58,56622114216282;16,059494495391846
XGBoost;45,23980693366519;62,87878248627925;0,8799755854962278;57,35115431348724;36,13532066345215
Naive;46,15736330498176;64,57020760165274;0,8977789572859403;53,4629404617254;0,0356109142303466
ARIMA;45,97485507050772;64,7998464109154;0,8944745100885082;54,67800729040098;200,64178824424744
