;MAE;RMSE;MAPE;Direction_Accuracy_Pct;Execution_Time_Sec
CART;45.20648274776493;62.63902972650063;0.8784784068120955;59.53827460510328;17.904821395874023
XGBoost;45.16840130431829;62.649993392438525;0.8783410433940643;57.83718104495748;108.96884655952454
LSTM;45.37447529416544;63.24757744950796;0.8831979286673874;57.108140947752126;665.2954368591309
ARIMA;45.97485507050772;64.7998464109154;0.8944745100885082;54.67800729040098;200.64178824424744
Naive;46.15736330498176;64.57020760165274;0.8977789572859403;-;0.024872779846191406
Naive trend;66.47385176184686;91.87465120027024;1.294504415914418;53.4629404617254;0.0386004447937011
