epoch,loss,val_loss
0,0.01891537755727768,0.01403519231826067
1,0.014738212339580059,0.013842225074768066
2,0.014309498481452465,0.015026116743683815
3,0.014214206486940384,0.013946544378995895
4,0.013649247586727142,0.014181222766637802
5,0.013555644080042839,0.01478413213044405
6,0.013559318147599697,0.013987749814987183
7,0.013499859720468521,0.01407019142061472
8,0.013380774296820164,0.013937625102698803
9,0.013251245953142643,0.013926533982157707
10,0.013262695632874966,0.014337552711367607
11,0.013171637430787086,0.01414266787469387
12,0.01306359376758337,0.014452727511525154
13,0.01303146593272686,0.013850478455424309
14,0.013049683533608913,0.013802616856992245
15,0.012868269346654415,0.014253245666623116
16,0.012852471321821213,0.015146167017519474
17,0.012740150094032288,0.013996295630931854
18,0.012847676873207092,0.014104637317359447
19,0.012370035983622074,0.01763494871556759
20,0.012440428137779236,0.015184132382273674
21,0.012245813384652138,0.0142521932721138
22,0.012382637709379196,0.014395248144865036
23,0.012315480038523674,0.015747008845210075
24,0.012066365219652653,0.014370676130056381
25,0.012001994997262955,0.015174703672528267
26,0.012350429780781269,0.0158634502440691
27,0.012131433933973312,0.014738807454705238
28,0.012058925814926624,0.016370445489883423
29,0.011955780908465385,0.015478797256946564
